SalesID,RepID,ProductID,Amount,Date
SALE000001,REP001,PROD002,2500.0,2026-06-14
SALE000002,REP001,PROD001,6000.0,2026-06-16
SALE000003,REP001,PROD001,12000.0,2026-06-23
SALE000004,REP001,PROD003,9500.0,2026-06-19
SALE000005,REP001,PROD001,600.0,2026-06-04
SALE000006,REP001,PROD004,8500.0,2026-06-02
SALE000007,REP001,PROD002,2500.0,2026-06-06
SALE000008,REP001,PROD001,6000.0,2026-06-04
SALE000009,REP001,PROD001,6000.0,2026-06-16
SALE000010,REP001,PROD002,5000.0,2026-06-12
SALE000011,REP001,PROD003,19000.0,2026-06-23
SALE000012,REP001,PROD004,4250.0,2026-06-24
SALE000013,REP001,PROD001,1200.0,2026-06-25
SALE000014,REP001,PROD002,25000.0,2026-06-26
SALE000015,REP002,PROD001,600.0,2026-06-02
SALE000016,REP002,PROD004,8500.0,2026-06-21
SALE000017,REP002,PROD002,25000.0,2026-06-16
SALE000018,REP002,PROD003,95000.0,2026-06-23
SALE000019,REP003,PROD004,1700.0,2026-06-06
SALE000020,REP003,PROD004,850.0,2026-06-24
SALE000021,REP003,PROD002,5000.0,2026-06-14
SALE000022,REP003,PROD004,850.0,2026-06-11
SALE000023,REP003,PROD004,425.0,2026-06-13
SALE000024,REP003,PROD004,850.0,2026-06-08
SALE000025,REP003,PROD004,850.0,2026-06-20
SALE000026,REP003,PROD001,6000.0,2026-06-17
SALE000027,REP003,PROD004,425.0,2026-06-22
SALE000028,REP003,PROD003,4750.0,2026-06-13
SALE000029,REP003,PROD004,4250.0,2026-06-13
SALE000030,REP003,PROD003,9500.0,2026-06-30
SALE000031,REP003,PROD004,425.0,2026-06-12
SALE000032,REP003,PROD001,600.0,2026-06-29
SALE000033,REP003,PROD004,1700.0,2026-06-26
SALE000034,REP003,PROD002,5000.0,2026-06-29
SALE000035,REP003,PROD002,12500.0,2026-06-26
SALE000036,REP003,PROD002,1250.0,2026-06-20
SALE000037,REP003,PROD001,6000.0,2026-06-29
SALE000038,REP003,PROD001,2400.0,2026-06-10
SALE000039,REP003,PROD001,6000.0,2026-06-30
SALE000040,REP003,PROD003,19000.0,2026-06-09
SALE000041,REP003,PROD004,8500.0,2026-06-05
SALE000042,REP005,PROD003,95000.0,2026-06-17
SALE000043,REP005,PROD004,1700.0,2026-06-24
SALE000044,REP005,PROD001,1200.0,2026-06-27
SALE000045,REP005,PROD002,5000.0,2026-06-01
SALE000046,REP006,PROD002,25000.0,2026-06-26
SALE000047,REP006,PROD001,12000.0,2026-06-24
SALE000048,REP006,PROD001,1200.0,2026-06-23
SALE000049,REP006,PROD002,5000.0,2026-06-13
SALE000050,REP006,PROD002,2500.0,2026-06-22
SALE000051,REP006,PROD002,25000.0,2026-06-24
SALE000052,REP006,PROD004,425.0,2026-06-20
SALE000053,REP006,PROD003,47500.0,2026-06-04
SALE000054,REP007,PROD003,4750.0,2026-06-23
SALE000055,REP007,PROD003,4750.0,2026-06-28
SALE000056,REP007,PROD003,95000.0,2026-06-18
SALE000057,REP007,PROD003,95000.0,2026-06-17
SALE000058,REP008,PROD002,5000.0,2026-06-17
SALE000059,REP008,PROD004,4250.0,2026-06-04
SALE000060,REP008,PROD004,850.0,2026-06-11
SALE000061,REP008,PROD001,6000.0,2026-06-09
SALE000062,REP008,PROD003,47500.0,2026-06-04
SALE000063,REP008,PROD003,9500.0,2026-06-14
SALE000064,REP008,PROD004,850.0,2026-06-27
SALE000065,REP008,PROD004,4250.0,2026-06-29
SALE000066,REP008,PROD004,8500.0,2026-06-17
SALE000067,REP008,PROD002,12500.0,2026-06-25
SALE000068,REP010,PROD001,1200.0,2026-06-17
